ST,accession,organism,16S_copies,strain,assembly_status,status_tax,Type_Strain,pyani_group_ID,pyani_genus_ID,pyani_species_ID,completeness,contamination,strain_heterogeneity,total_genes,total_cds,GC_content,genome_size
231,GCF_000716445.1,Streptomyces wedmorensis,1,NRRL 3426,Contig,correct name,Yes,159,23,38,99.84,1.27,12.5,8354,0,72.06641111738513,9380839
232,GCF_000725805.1,Streptomyces xanthophaeus,1,NRRL B-5414,Scaffold,correct name,Yes,9,117,159,99.46,1.55,0.0,7869,0,72.23227410462664,8621934
233,GCF_000220705.2,Streptomyces xinghaiensis,2,S187,Complete Genome,correct name,Yes,75,100,137,100.0,1.32,33.33,6110,0,73.13751358769697,7137891
234,GCF_000745345.1,Streptomyces yeochonensis,5,CN732,Contig,correct name,No,160,140,186,99.74,0.88,0.0,6405,0,73.55632674347909,7819394
236,GCF_000225525.1,Streptomyces zinciresistens,1,K42,Contig,correct name,Yes,162,141,187,100.0,1.7,7.14,7583,0,72.45765896906404,8221694
238,GCF_000092385.1,Streptomyces bingchenggensis,6,BCW-1,Complete Genome,no record in LPSN entry,No,60,142,188,99.74,1.96,28.57,10063,0,70.75458902611386,11936683
239,GCF_000147815.2,Streptomyces violaceusniger,4,Tu 4113,Complete Genome,correct name,No,164,143,189,100.0,1.05,0.0,9519,0,70.8763616177782,11138313
240,GCF_000177175.2,Streptomyces sp.,3,XylebKG-1,Scaffold,not validly described,No,1,1,1,99.84,0.0,0.0,7438,0,72.10960361249946,8731683
241,GCF_900091715.1,Streptomyces sp.,1,DpondAA-F4a,Contig,not validly described,No,26,52,74,99.58,0.35,0.0,6649,0,71.7625239759841,7327645
241,GCF_900095575.1,Streptomyces sp.,1,DpondAA-F4,Contig,not validly described,No,26,52,74,99.93,0.0,0.0,6584,0,71.79502345502753,7354500
241,GCF_009863165.1,Streptomyces sp.,1,SID4939,Contig,not validly described,No,26,52,74,99.93,0.0,0.0,6599,0,71.79118544996251,7363280
241,GCF_009862475.1,Streptomyces sp.,1,SID4940,Contig,not validly described,No,26,52,74,99.58,0.35,0.0,6676,0,71.76769541219791,7343669
241,GCF_009862105.1,Streptomyces sp.,1,SID8357,Contig,not validly described,No,26,52,74,99.93,0.0,0.0,6619,0,71.77827035527301,7452860
241,GCF_000382745.1,Streptomyces sp.,1,DvalAA-83,Contig,not validly described,No,26,52,74,99.93,0.0,0.0,6622,0,71.77827035527301,7452860
241,GCF_000177195.2,Streptomyces sp.,6,SirexAA-E,Complete Genome,not validly described,No,26,52,74,99.93,0.0,0.0,6564,0,71.7481563004084,7414440
241,GCF_009865465.1,Streptomyces sp.,6,SID1,Contig,not validly described,No,26,52,74,99.93,0.0,0.0,6564,0,71.7481563004084,7414440
242,GCF_000226455.1,Streptomyces chartreusis,1,NRRL 12338,Scaffold,correct name,No,165,25,40,100.0,0.0,0.0,8037,0,71.02442944954693,8893692
242,GCF_009862985.1,Streptomyces sp.,1,SID5464,Scaffold,not validly described,No,165,25,40,100.0,0.0,0.0,8036,0,71.02442944954693,8893692
242,GCF_900236475.1,Streptomyces chartreusis,6,NRRL3882,Complete Genome,correct name,No,165,25,40,100.0,0.0,0.0,8016,0,71.22573989095564,8983317
242,GCF_900236505.1,Streptomyces chartreusis,6,NRRL3882,Complete Genome,correct name,No,165,25,40,100.0,0.0,0.0,8016,0,71.22573989095564,8983317
243,GCF_000239075.1,Streptomyces sp.,1,W007,Contig,not validly described,No,1,1,2,99.69,0.18,0.0,8132,0,71.35596424030521,9057348
244,GCF_000253235.1,Streptomyces venezuelae,1,ATCC 10712,Chromosome,correct name,Yes,20,41,61,99.49,1.02,20.0,7441,0,72.4003234559803,8226158
245,GCF_000261345.2,Streptomyces globisporus,6,C-1027,Complete Genome,correct name,No,2,37,52,99.84,0.0,0.0,6958,0,71.54212338019983,7783599
246,GCF_000297635.1,Streptomyces sp.,1,AA0539,Contig,not validly described,No,43,73,106,95.82,0.88,0.0,5216,0,72.92147577802726,5768564
247,GCF_000299175.2,Streptomyces sp.,1,SM8,Scaffold,not validly described,No,3,57,79,96.16,0.43,0.0,6428,0,72.970847187018,7145211
248,GCF_000317595.1,Streptomyces ipomoeae,7,91-03,Contig,correct name,No,31,59,81,99.89,1.0,0.0,9150,0,70.16676316934797,10403856
249,GCF_000720605.1,Streptomyces rimosus,1,NRRL WC-3558,Contig,correct name,No,8,105,142,100.0,2.57,0.0,8473,0,71.9384905797304,9590596
249,GCF_008704655.1,Streptomyces rimosus,4,ATCC 10970,Complete Genome,correct name,Yes,8,105,142,100.0,2.21,0.0,8162,0,71.95970710448734,9361154
249,GCF_006229535.1,Streptomyces rimosus,7,WT5260,Complete Genome,correct name,No,8,105,142,100.0,2.57,0.0,8462,0,71.885218651379,9658503
249,GCF_001507395.1,Streptomyces rimosus,1,NRRL WC-3897,Contig,correct name,No,8,105,142,100.0,2.57,0.0,8536,0,71.93555956473602,9592983
249,GCF_001279375.1,Streptomyces rimosus,1,NRRL WC-3898,Contig,correct name,No,8,105,142,100.0,2.57,0.0,8547,0,71.9365860442095,9592778
249,GCF_001279105.1,Streptomyces rimosus,1,NRRL WC-3873,Contig,correct name,No,8,105,142,100.0,2.57,0.0,8547,0,71.93875390657021,9588334
249,GCF_001279095.1,Streptomyces rimosus,1,NRRL WC-3899,Contig,correct name,No,8,105,142,100.0,2.57,0.0,8490,0,71.92935274853966,9511651
249,GCF_001279075.1,Streptomyces rimosus,1,NRRL WC-3875,Contig,correct name,No,8,105,142,100.0,2.57,0.0,8467,0,71.95247130450444,9527802
249,GCF_001279025.1,Streptomyces sp.,1,NRRL WC-3701,Contig,not validly described,No,8,105,142,100.0,2.57,0.0,8542,0,71.93731867285719,9600052
249,GCF_000707925.2,Streptomyces rimosus,3,R6-500,Chromosome,correct name,No,8,105,142,100.0,2.21,0.0,7837,0,71.94616175220965,8919161
249,GCF_000718815.1,Streptomyces sp.,1,NRRL WC-3703,Contig,not validly described,No,8,105,142,100.0,2.57,0.0,8484,0,71.94052761415331,9588181
249,GCF_001279015.1,Streptomyces rimosus,1,NRRL WC-3909,Contig,correct name,No,8,105,142,100.0,2.21,0.0,8219,0,71.9998312830684,9222548
249,GCF_000718715.1,Streptomyces rimosus,1,NRRL WC-3874,Contig,correct name,No,8,105,142,99.88,2.45,0.0,8718,0,71.95163268429954,9551326
249,GCF_000718295.1,Streptomyces capuensis,1,NRRL B-3501,Contig,no record in LPSN entry,No,8,105,142,100.0,2.39,0.0,8469,0,71.92705969692,9439884
249,GCF_000717285.1,Streptomyces rimosus,1,NRRL ISP-5260,Contig,correct name,Yes,8,105,142,100.0,2.57,0.0,8479,0,71.94081911006556,9589920
249,GCF_000716845.1,Streptomyces capuensis,1,NRRL B-12337,Contig,no record in LPSN entry,No,8,105,142,99.82,2.65,7.14,8258,0,71.96417899057562,9329832
249,GCF_000721045.1,Streptomyces rimosus,1,NRRL B-2626,Contig,correct name,No,8,105,142,100.0,2.68,0.0,8591,0,71.8601285245261,9663214
249,GCF_000331185.2,Streptomyces rimosus,5,ATCC 10970,Complete Genome,correct name,Yes,8,105,142,100.0,2.57,0.0,8439,0,71.8901115742598,9643891
249,GCF_000718835.1,Streptomyces rimosus,1,NRRL WC-3876,Contig,correct name,No,8,105,142,97.86,1.68,0.0,7465,0,71.928589640042,8413065
249,GCF_000720715.1,Streptomyces rimosus,1,NRRL WC-3900,Contig,correct name,No,8,105,142,100.0,2.39,0.0,8313,0,71.97187219439527,9375207
249,GCF_000718865.1,Streptomyces rimosus,1,NRRL WC-3882,Contig,correct name,No,8,105,142,95.85,2.21,0.0,7367,0,71.9714793552506,8273726
249,GCF_000720565.1,Streptomyces rimosus,1,NRRL WC-3925,Contig,correct name,No,8,105,142,99.29,2.39,0.0,8284,0,71.959623066249,9356233
250,GCF_000332625.1,Streptomyces viridochromogenes,1,Tue57,Contig,correct name,No,51,82,116,100.0,2.15,0.0,8798,0,70.96507968885032,9687428
251,GCF_000349325.1,Streptomyces davaonensis,6,JCM 4913,Chromosome,correct name,Yes,166,144,190,99.39,0.79,0.0,8625,0,70.56941486717699,9555950
252,GCF_000364805.1,Streptomyces sp.,5,PAMC 26508,Complete Genome,not validly described,No,1,2,3,99.84,0.09,0.0,6690,0,71.0335644530418,7630245
253,GCF_000373405.1,Streptomyces sp.,1,ScaeMP-e10,Scaffold,not validly described,No,1,1,4,99.84,1.02,50.0,7141,0,71.58859177916632,8075580
253,GCF_009872615.1,Streptomyces sp.,1,SID5594,Scaffold,not validly described,No,1,1,4,99.84,1.02,50.0,7138,0,71.58859177916632,8075580
254,GCF_000403665.1,Streptomyces lividans,1,1326,Chromosome,no record in LPSN entry,No,13,12,21,99.57,0.86,33.33,7681,0,71.42540887928837,8496762
254,GCF_000972395.1,Streptomyces sp.,1,WM6391,Scaffold,not validly described,No,13,12,21,99.14,0.86,0.0,7881,0,72.15396542648439,8558285
255,GCF_000403765.2,Streptomyces albulus,1,CCRC 11814,Contig,correct name,No,32,60,82,97.69,1.79,0.0,8221,0,72.2496555651102,9304371
255,GCF_003851665.1,Streptomyces albulus,6,NBRC 14147,Contig,correct name,No,32,60,82,99.89,2.5,7.69,8383,0,72.20755981233502,9614154
256,GCF_000411495.1,Streptomyces sp.,2,HPH0547,Scaffold,not validly described,No,29,56,78,99.64,1.33,0.0,6637,0,72.0851478573773,7887973
256,GCF_000720885.1,Streptomyces albus,1,NRRL B-2362,Contig,correct name,No,29,56,78,99.64,1.25,0.0,6670,0,72.73109290288193,7845903
256,GCF_004768505.1,Streptomyces albus,1,DSM 40763,Scaffold,correct name,No,29,56,78,99.56,1.33,0.0,6905,0,72.49955805634599,8106237
256,GCF_011006355.1,Streptomyces albus,1,CAS922,Complete Genome,correct name,No,29,56,78,99.47,1.2,0.0,6780,0,72.59319065930866,8069210
257,GCF_000444875.1,Streptomyces collinus,6,Tu 365,Complete Genome,correct name,No,167,145,191,99.89,1.79,28.57,7280,0,72.55081180229493,8377286
258,GCF_000495755.1,Streptomyces sp.,6,PVA 94-07,Chromosome,not validly described,No,3,57,79,99.89,0.14,0.0,6109,0,73.04997404360645,7106149
259,GCF_000498935.1,Streptomyces sp.,1,HCCB10043,Contig,not validly described,No,2,37,53,94.28,0.53,0.0,7044,0,70.94777700536207,6687533
260,GCF_009865365.1,Streptomyces sp.,1,SID4912,Scaffold,not validly described,No,2,38,54,99.84,0.98,0.0,6302,0,72.13596680481545,7295516
260,GCF_900091745.1,Streptomyces sp.,1,DpondAA-D4,Contig,not validly described,No,2,38,54,99.75,0.98,0.0,6294,0,72.14055001490422,7273112
261,GCF_000590515.1,Streptomyces sp.,1,PRh5,Contig,not validly described,No,5,79,112,100.0,3.95,0.0,9332,0,71.09097211270687,11084188
262,GCF_000612545.2,Streptomyces sp.,7,P1,Complete Genome,not validly described,No,168,146,192,99.93,0.52,0.0,6861,0,72.04097248631763,7628241
263,GCF_009862115.1,Streptomyces sp.,1,SID8359,Scaffold,not validly described,No,33,61,84,99.67,0.8,40.0,6438,0,72.4911615214803,7654598
263,GCF_000647875.1,Streptomyces sp.,1,SolWspMP-sol2th,Scaffold,not validly described,No,33,61,84,99.67,0.8,40.0,6439,0,72.4911615214803,7654598
264,GCF_000695235.1,Streptomyces albulus,3,NK660,Complete Genome,correct name,No,32,60,82,99.56,2.59,6.67,8162,0,72.31891806592569,9372401
265,GCF_000698495.1,Streptomyces sp.,6,NTK 937,Contig,not validly described,No,2,38,54,99.84,0.1,0.0,6517,0,71.90525115243925,7444861
266,GCF_002966105.1,Streptomyces xinghaiensis,1,OlgR2-7A,Contig,correct name,No,75,100,137,100.0,1.75,0.0,6580,0,72.75540910737587,7731821
266,GCF_000700005.2,Streptomyces xinghaiensis,1,ATCC 19609,Contig,correct name,No,75,100,137,100.0,1.05,0.0,6587,0,72.74064770002371,7741732
266,GCF_001190165.1,Streptomyces fradiae,1,olg1-1,Contig,correct name,No,75,100,137,99.47,1.05,0.0,6553,0,72.81789611086127,7667096
266,GCF_003122345.2,Streptomyces xinghaiensis,1,OlgR,Contig,correct name,No,75,100,137,100.0,1.84,0.0,6578,0,72.75313126152106,7734742
266,GCF_001756925.1,Streptomyces fradiae,1,Olg4R,Contig,correct name,No,75,100,137,100.0,1.05,0.0,6568,0,72.78355158934994,7632932
267,GCF_000709915.1,Streptomyces griseorubens,1,JSD-1,Scaffold,synonym,No,169,147,193,99.36,0.0,0.0,6938,0,71.7720114283777,7668630
268,GCF_000716025.1,Streptomyces baarnensis,1,NRRL B-2842,Scaffold,synonym,No,1,1,6,99.49,0.38,0.0,7356,0,71.28087779499602,8227069
269,GCF_000716515.1,Streptomyces rimosus,1,NRRL B-16073,Contig,correct name,No,8,105,142,100.0,2.59,0.0,8172,0,71.95749146730228,9386539
270,GCF_000716625.1,Streptomyces bikiniensis,1,NRRL ISP-5580,Contig,correct name,No,46,148,194,99.49,0.86,0.0,6706,0,73.07199505128393,7391008
271,GCF_000716685.1,Streptomyces virginiae,1,NRRL B-8091,Contig,correct name,No,76,101,138,99.93,0.91,0.0,8506,0,71.70645448432758,9185056
272,GCF_000717595.1,Streptomyces flavochromogenes,1,NRRL B-2684,Contig,no record in LPSN entry,No,34,62,85,99.75,1.59,0.0,8029,0,71.81275055098989,8884918
273,GCF_000717655.1,Streptomyces katrae,1,NRRL B-16271,Contig,correct name,No,41,71,104,99.14,2.06,0.0,7803,0,71.75528262776542,8582897
274,GCF_000717745.1,Streptomyces violens,1,NRRL ISP-5597,Contig,correct name,Yes,23,46,67,99.2,2.65,10.0,7031,0,71.41159375031481,7941520
275,GCF_000717795.1,Streptomyces griseus,1,NRRL WC-3480,Contig,correct name,No,1,1,1,99.84,0.0,0.0,7204,0,72.23333841955886,8329687
276,GCF_000717845.1,Streptomyces violaceoruber,1,NRRL S-12,Contig,correct name,No,13,12,21,100.0,0.0,0.0,7720,0,72.25332298072266,8489968
277,GCF_000717925.1,Streptomyces sp.,1,NRRL S-241,Contig,not validly described,No,9,117,156,99.49,1.18,0.0,8018,0,72.07058507155685,8768483
278,GCF_000718015.1,Streptomyces catenulae,1,NRRL B-2342,Contig,correct name,Yes,17,26,41,100.0,2.85,0.0,6086,0,72.97201453063025,7046907
279,GCF_000718165.1,Streptomyces fulvoviolaceus,1,NRRL B-2870,Contig,no record in LPSN entry,No,170,149,195,99.89,1.7,0.0,10633,0,70.24932893761864,11584616
280,GCF_000718205.1,Streptomyces griseus,1,NRRL B-2931,Contig,correct name,No,7,96,133,99.93,0.47,0.0,7046,0,72.64745875836786,8030720
280,GCF_001270675.1,Streptomyces griseus,1,NRRL B-2929,Contig,correct name,No,7,96,133,99.93,0.47,0.0,7052,0,72.64491657082904,8029206
280,GCF_000721205.1,Streptomyces griseus,1,NRRL B-2930,Contig,correct name,No,7,96,133,99.93,0.47,0.0,7046,0,72.64634063116597,8029964
280,GCF_000719035.1,Streptomyces griseus,1,NRRL B-1691,Contig,correct name,No,7,96,133,99.93,0.65,0.0,7175,0,72.62026967117478,8086515
280,GCF_000718915.1,Streptomyces sp.,1,NRRL WC-3540,Contig,not validly described,No,7,96,133,99.93,0.47,0.0,7050,0,72.644201143551,8031299
281,GCF_000718235.1,Streptomyces griseus,1,NRRL B-2932,Contig,correct name,No,7,96,133,99.93,0.47,0.0,6779,0,72.68475967247977,7836951
282,GCF_000718375.1,Streptomyces sp.,1,NRRL F-2305,Contig,not validly described,No,77,102,139,99.89,0.14,0.0,7690,0,72.3730541599248,8604831
282,GCF_001279005.1,Streptomyces caelestis,1,NRRL B-24567,Contig,correct name,No,77,102,139,99.89,0.14,0.0,7730,0,72.36922711496258,8622162
283,GCF_000718455.1,Streptomyces globisporus,1,NRRL B-2709,Contig,correct name,No,171,150,196,99.72,0.18,0.0,6722,0,71.65156533049444,7454528
284,GCF_000718525.1,Streptomyces griseus,1,NRRL B-2621,Contig,correct name,No,172,28,43,99.93,1.1,0.0,6703,0,73.89174165612695,7429044
284,GCF_000721035.1,Streptomyces griseus,1,NRRL B-2621,Contig,correct name,No,172,28,43,99.93,1.1,0.0,6686,0,73.89813994947865,7428938
285,GCF_000718675.1,Streptomyces rimosus,1,NRRL WC-3930,Contig,correct name,No,8,105,142,98.1,2.36,0.0,8368,0,71.85519984605249,9520128
285,GCF_000721665.1,Streptomyces rimosus,1,NRRL WC-3929,Contig,correct name,No,8,105,142,99.35,2.36,0.0,8599,0,71.85064233963534,9738851
286,GCF_000718705.1,Streptomyces lavendulae,1,NRRL WC-3542,Contig,correct name,No,10,4,12,99.58,1.21,0.0,7605,0,72.41803958135952,8354185
286,GCF_000719625.1,Streptomyces sp.,1,NRRL B-1322,Contig,not validly described,No,10,4,12,99.58,1.21,0.0,7622,0,72.41710102667128,8351943
286,GCF_017876235.1,Streptomyces cinnamonensis,7,DSM 40803,Contig,synonym,Yes,10,4,12,99.93,1.11,0.0,7763,0,72.26190082540705,8588732
287,GCF_000719185.1,Streptomyces rimosus,1,NRRL B-2660,Contig,correct name,No,173,29,44,100.0,3.37,0.0,7895,0,72.08319570586902,9085517
287,GCF_000718755.1,Streptomyces rimosus,1,NRRL WC-3560,Contig,correct name,No,173,29,44,94.96,2.83,0.0,7445,0,72.089898689331,8603240
288,GCF_000718775.1,Streptomyces sp.,1,NRRL S-31,Contig,not validly described,No,174,151,197,100.0,1.43,20.0,7600,0,72.82103019912239,8737340
289,GCF_000718935.1,Streptomyces sp.,1,NRRL S-237,Contig,not validly described,No,9,117,157,99.58,1.97,0.0,8156,0,71.66822575191871,8825688
290,GCF_000718955.1,Streptomyces sp.,1,NRRL S-575,Contig,not validly described,No,9,117,158,99.58,0.99,0.0,7913,0,71.79907529686092,8686896
290,GCF_000720795.1,Streptomyces sp.,1,NRRL S-515,Contig,not validly described,No,9,117,158,99.58,0.99,0.0,7912,0,71.80025774784042,8682129
291,GCF_000719265.1,Streptomyces roseoverticillatus,1,NRRL B-3500,Contig,synonym,Yes,175,152,198,99.64,1.64,0.0,6292,0,72.41642711509591,7205477
292,GCF_000719355.1,Streptomyces griseus,1,NRRL F-5144,Contig,correct name,No,2,37,52,99.14,0.26,0.0,7095,0,71.53532368971149,7849817
293,GCF_000719365.1,Streptomyces sp.,1,NRRL S-1448,Contig,not validly described,No,78,103,140,99.79,1.54,0.0,7912,0,71.5883297638565,8960230
294,GCF_000719425.1,Streptomyces sp.,1,NRRL F-5639,Contig,not validly described,No,29,56,78,99.56,1.42,0.0,6763,0,72.57078343787819,7940770
295,GCF_000719495.1,Streptomyces albidoflavus,1,NRRL F-5621,Contig,correct name,No,3,57,79,99.89,0.43,0.0,6432,0,73.37228246063314,7341200
296,GCF_000719505.1,Streptomyces sp.,1,NRRL B-3229,Contig,not validly described,No,176,153,199,100.0,0.86,0.0,7789,0,71.07816034179442,8694115
297,GCF_000719555.1,Streptomyces sp.,1,NRRL F-5727,Contig,not validly described,No,177,154,200,99.72,1.98,0.0,7352,0,73.19297597363543,7945813
298,GCF_000719585.1,Streptomyces sp.,1,NRRL F-5681,Contig,not validly described,No,7,96,133,99.93,0.47,0.0,6758,0,72.70651086900656,7821598
299,GCF_000719605.1,Streptomyces sp.,1,NRRL S-1813,Contig,not validly described,No,64,92,129,100.0,1.07,0.0,7634,0,70.8695276120797,8474751
300,GCF_000719655.1,Streptomyces sp.,1,NRRL B-1381,Contig,not validly described,No,7,96,133,99.93,0.61,0.0,7002,0,72.53399505718305,8054921
301,GCF_000719735.1,Streptomyces sp.,1,NRRL F-5917,Contig,not validly described,No,29,56,78,99.56,1.33,0.0,6864,0,72.5739811263078,8011469
302,GCF_000719785.1,Streptomyces sp.,1,NRRL S-1314,Contig,not validly described,No,21,42,63,100.0,0.0,0.0,6848,0,72.59169735383811,7489829
303,GCF_000719865.1,Streptomyces albus,1,NRRL F-4971,Contig,correct name,No,178,155,201,100.0,0.53,0.0,5846,0,73.20297224774073,6938318
304,GCF_000719895.1,Streptomyces sp.,1,NRRL F-2799,Contig,not validly described,No,52,83,117,99.89,0.73,0.0,5707,0,71.65567720518898,6114646
305,GCF_000719925.1,Streptomyces sp.,1,NRRL F-2202,Contig,not validly described,No,7,96,133,99.93,0.47,0.0,6747,0,72.70753156324274,7806945
306,GCF_000720135.1,Streptomyces sp.,1,NRRL S-1022,Contig,not validly described,No,179,156,202,99.89,0.43,0.0,8200,0,72.32100914084657,8915148
307,GCF_000720175.1,Streptomyces sp.,1,NRRL S-337,Contig,not validly described,No,180,157,203,99.44,1.54,37.5,8135,0,71.49557545860554,9059583
308,GCF_000720215.1,Streptomyces sp.,1,NRRL S-475,Contig,not validly described,No,14,16,25,100.0,0.0,0.0,7724,0,71.44995860312143,8540499
309,GCF_000720395.1,Streptomyces flavovirens,1,NRRL B-2182,Contig,correct name,No,1,2,3,99.84,0.09,0.0,6851,0,71.0521121689099,7670646
310,GCF_000720405.1,Streptomyces sp.,1,NRRL B-24051,Contig,not validly described,No,1,2,3,99.84,0.09,0.0,6670,0,71.1228905959017,7539096
311,GCF_000720505.1,Streptomyces sp.,1,NRRL S-146,Contig,not validly described,No,14,16,26,99.03,0.64,0.0,9142,0,71.1599726761315,8864045
312,GCF_000720675.1,Streptomyces sp.,1,NRRL WC-3795,Contig,not validly described,No,4,68,96,100.0,0.0,0.0,6860,0,72.5811962847692,7612017
313,GCF_000721105.1,Streptomyces cellulosae,1,NRRL B-2687,Contig,correct name,No,181,158,204,100.0,0.64,0.0,9077,0,70.63587595804425,10063079
314,GCF_000721185.1,Streptomyces griseolus,1,NRRL B-2925,Contig,synonym,Yes,2,38,54,99.84,1.51,0.0,6577,0,71.98691774596456,7537539
315,GCF_000721435.1,Streptomyces sp.,1,NRRL F-5527,Contig,not validly described,No,21,42,63,100.0,0.17,0.0,7150,0,72.51691439865795,7787448
316,GCF_000721535.1,Streptomyces hygroscopicus,1,NRRL B-1477,Contig,correct name,No,16,24,39,100.0,2.63,0.0,8376,0,72.06760282122676,9919231
317,GCF_000721575.1,Streptomyces griseus,1,NRRL F-2227,Contig,correct name,No,7,96,133,99.93,0.54,0.0,6987,0,72.590044743842,8042224
318,GCF_000721595.1,Streptomyces sp.,1,NRRL S-325,Contig,not validly described,No,1,2,3,99.84,0.16,0.0,6722,0,71.10243045679316,7558826
319,GCF_000721605.1,Streptomyces sp.,1,NRRL S-37,Contig,not validly described,No,182,159,205,100.0,1.43,0.0,7354,0,72.0063388907986,8229831
320,GCF_000721945.1,Streptomyces sp.,1,NRRL WC-3774,Scaffold,not validly described,No,183,31,46,100.0,0.78,0.0,9175,0,70.60907544993876,9604196
320,GCF_001513955.1,Streptomyces pseudovenezuelae,1,DSM 40212,Scaffold,correct name,Yes,183,31,46,100.0,0.2,0.0,8595,0,70.82976174779763,9639743
321,GCF_000722185.1,Streptomyces sp.,1,NRRL S-15,Scaffold,not validly described,No,42,72,105,92.55,0.7,0.0,7531,0,67.85689330516693,7756758
322,GCF_000725555.1,Streptomyces erythrochromogenes,1,NRRL B-2112,Scaffold,no record in LPSN entry,No,53,84,118,99.58,0.05,0.0,6856,0,72.188913415395,7507524
323,GCF_001279065.1,Streptomyces rimosus,1,NRRL WC-3869,Contig,correct name,No,8,105,142,100.0,2.42,0.0,8279,0,71.90629975567991,9485098
323,GCF_000725565.1,Streptomyces peucetius,1,NRRL WC-3868,Scaffold,correct name,No,8,105,142,99.91,2.68,18.75,8307,0,71.90213394207954,9528656
324,GCF_000725635.1,Streptomyces sp.,1,NRRL B-3253,Scaffold,not validly described,No,3,57,79,99.89,0.79,0.0,6088,0,73.45570438069873,6992994
325,GCF_000725725.1,Streptomyces xanthophaeus,1,NRRL B-3004,Scaffold,correct name,No,9,117,159,99.46,1.55,0.0,7822,0,72.23956889074377,8568408
326,GCF_004328625.1,Streptomyces seoulensis,4,KCTC 9819,Complete Genome,correct name,No,50,81,115,100.0,0.64,0.0,5849,0,71.85854258591137,6426245
326,GCF_000725795.1,Streptomyces seoulensis,1,NRRL B-24310,Scaffold,correct name,No,50,81,115,100.0,0.64,0.0,5878,0,71.91412046889694,6383407
327,GCF_001550245.1,Streptomyces scabiei,5,84-34,Contig,correct name,No,11,9,18,99.14,1.03,50.0,9744,0,71.23543414207674,9992374
327,GCF_001005405.1,Streptomyces scabiei,1,NRRL B-16523,Contig,correct name,No,11,9,18,98.93,0.75,66.67,8876,0,71.49984653442203,9839340
327,GCF_000738715.1,Streptomyces scabiei,1,NCPPB 4066,Scaffold,correct name,No,11,9,18,99.57,0.0,0.0,8711,0,71.46409215912767,10010251
328,GCF_000739045.1,Streptomyces luteus,6,TRM 45540,Scaffold,synonym,Yes,184,160,206,100.0,1.24,0.0,7148,0,71.62854703992213,7829169
329,GCF_000743295.1,Streptomyces sp.,1,JS01,Contig,not validly described,No,2,37,52,99.84,0.44,0.0,7103,0,71.61873868098405,7799375
330,GCF_000797385.1,Streptomyces sp.,1,CNQ431,Contig,not validly described,No,3,57,79,99.89,0.14,0.0,6263,0,73.07991140216811,7037644
331,GCF_000800535.1,Streptomyces sp.,1,M10,Scaffold,not validly described,No,3,57,79,99.46,0.0,0.0,6257,0,73.00886103822458,7207169
332,GCF_000805335.1,Streptomyces sp.,5,CT34,Scaffold,not validly described,No,185,161,207,98.18,1.8,12.5,7164,0,71.30196381794673,8066430
333,GCF_000816025.1,Streptomyces sp.,6,769,Complete Genome,not validly described,No,32,60,83,99.44,2.58,0.0,8976,0,71.59873503209333,10338286
334,GCF_000816485.1,Streptomyces sp.,1,MUSC 125,Contig,not validly described,No,71,162,208,99.46,0.43,0.0,6817,0,70.02343510924956,7656461
335,GCF_000829695.1,Streptomyces sp.,1,NBRC 110035,Scaffold,not validly described,No,79,104,141,100.0,0.75,25.0,6597,0,71.73770604455973,7508934
336,GCF_000829715.2,Streptomyces lydicamycinicus,1,NBRC 110027,Scaffold,correct name,Yes,186,163,209,100.0,1.48,0.0,7264,0,71.10265231925432,8319549
337,GCF_000931445.1,Streptomyces cyaneogriseus,5,NMWT 1,Complete Genome,no record in LPSN entry,No,187,164,210,99.57,0.64,0.0,6610,0,72.85908886895231,7762396
338,GCF_003147545.1,Streptomyces globisporus,6,TFH56,Complete Genome,correct name,No,2,37,52,98.41,0.35,0.0,6864,0,71.53998534667811,7666521
339,GCF_000935185.3,Streptomyces albulus,7,CK-15,Complete Genome,correct name,No,32,60,82,99.91,2.53,9.09,8105,0,72.3496066608556,9336218
340,GCF_000956015.1,Streptomyces sp.,1,NRRL F-4428,Contig,not validly described,No,47,76,109,98.93,0.84,25.0,6496,0,72.4826204158165,7081441
341,GCF_000968685.2,Streptomyces antioxidans,1,MUSC 164,Contig,no record in LPSN entry,No,188,165,211,100.0,4.21,0.0,7614,0,71.47187478922336,9118065
342,GCF_000972435.1,Streptomyces sp.,1,MBT28,Scaffold,not validly described,No,4,68,96,100.0,0.0,0.0,7387,0,72.41785812010451,8003530
343,GCF_000980885.2,Streptomyces malaysiense,1,MUSC 136,Contig,no record in LPSN entry,No,6,90,126,99.57,0.32,0.0,7163,0,72.20426490137413,7963326
344,GCF_014873495.1,Streptomyces stelliscabiei,6,DSM 41803,Contig,correct name,Yes,80,107,146,100.0,0.43,0.0,9175,0,71.09622955863706,10497710
344,GCF_001008135.1,Streptomyces stelliscabiei,1,NRRL B-24447,Scaffold,correct name,No,80,107,146,96.67,0.43,0.0,9125,0,71.0127452010073,9978344
344,GCF_001189035.1,Streptomyces stelliscabiei,1,P3825,Scaffold,correct name,No,80,107,146,99.36,0.43,0.0,9201,0,71.04349047922337,10419108
345,GCF_001014595.1,Streptomyces sp.,1,KE1,Contig,not validly described,No,3,57,79,99.03,0.0,0.0,6024,0,73.43219554190345,6830045
